SMILES,Masse_Molaire
CC1OC=CC=C1C(=O)O,140.13662
OC1CC2CCC(C1)N2,127.18422
c1ccc(-c2cccc3cc[nH]c23)cc1,193.24384
OCC1CNCCO1,117.14633
CCCCNCc1ccccc1,163.25938
O=C(Nc1nccs1)c1ccccc1,204.24832
Clc1cccnc1Nc1cccnc1,205.64361
CC1=CCOc2nc(C(F)F)[nH]c(=O)c21,214.16882
Oc1cccc2c1NCC=C2,147.17385
Cc1ccc(O)c2[nH]c(=O)ccc12,175.18396
CCCCNCc1cccnc1,164.24743
O=C(O)c1cn[nH]c1,112.08676
C#CCCC,68.11702
c1nc(C2CC2)c[nH]1,108.14112
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,267.36544
c1ccc(-c2ncc[nH]2)cc1,144.17321
COCCN,75.10966
Cc1ccc2c(N)n[nH]c2c1,147.17716
CC(C)(O)c1c[nH]cn1,126.1564
c1cc2c3c(c[nH]c3c1)CCC2,157.21174
C1=NCNC(NCCNC2CCOCC2)=C1,224.3027
O=C1c2ncccc2CCN1O,164.16131
CCOC(N)=O,89.09317
CC(C)CC(=O)O,102.1317
CCCCNC(=O)C(C)CC,157.25326
CCC(N)C(O)CC(C)C,145.24255
CCC(O)C(N)CC(C)C,145.24255
O=c1[nH]c2ccccc2o1,135.1201
C#CCNC,69.10508
CCCCNC(=O)OCC,145.1995
CC(C)CN(O)C=O,117.14634
O=C(Nc1ccccc1)Nc1cccnc1,213.23524
O=C(NCc1cccnc1)c1ccccc1,212.24718
CCC1C(O)CC(=O)C1C,142.19556
O=C(NC1CC1)c1ccccc1,161.20043
COCC(=O)NO,105.09258
CCC(NC)C(=O)Nc1ccccc1,192.25753
C/C=C/C(=O)NO,101.10388
C=CC(=O)NO,87.0773
CC(C)(N)Cc1cc2ccccc2[nH]1,188.26884
Nc1nc(N)c2ccccc2n1,160.17592
CCCCNc1c2c(nc3ccccc13)CCCC2,254.36998
CCC1(OC)C(=O)NC(=O)C(N)C1=O,200.19188
CC1(O)CNC(=O)C(N)C1=O,158.15519
CC1CC(O)CC(=O)O1,130.1418
OCC1OCCCC1O,132.15768
Nc1ccc2ccccc2n1,144.17321
CC(O)CC(O)CC(=O)O,148.15708
O=C(Nc1ccccc1)Nc1ccccc1,212.24718
Cc1cccc(NC(=O)Nc2ccccc2)c1,226.27376
Oc1cc(Br)c2ocnc2c1,214.01616
CN(C)c1ccnc2c1NC(=O)CN2c1ccccc1,268.31374
CC1(O)CCCN(S)C1C(N)=O,190.26326
Nc1nonc1-c1nc2cnccc2[nH]1,202.17283
CCC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,279.37459
CCC1C(=O)Nc2ccccc2N1S,208.28007
Nc1ccccc1C(=O)NO,152.15061
O=C(NO)c1ccccc1,137.13597
CCc1cccc(OC)c1O,152.19038
Cc1nccc(-c2ccccc2)c1CN,198.26366
COC(CN)c1ccccc1,151.20561
COc1ccccc1O,124.13722
Cc1cccc2[nH]ccc12,131.17446
CCNC(=O)NCC,116.16158
CC(N)Cc1ccccc1,135.20622
Cc1ccc2c(c1)NC(=O)C21CCOCC1,217.2637
O=C(O)CC1(c2ccccc2)C2CCCC1CCC2,258.35538
Nc1ccnc(N)n1,110.11724
CCc1cnc(N)nc1N,138.1704
CNC(=O)c1cnccn1,137.13927
N#C/N=C(\NCCCN)c1ccccn1,203.24372
O=C(NC1CCCCCC1)C1CCNCC1,224.34246
NC(=O)C1=C(N)CCS1,144.19482
CC(C)(CO)C(=O)O,118.13109
CCCC(=O)NO,103.11976
CC(C)C(=O)NCC1CC1C,155.23737
C/C=C1\SC(=O)NC1=O,143.1637
c1ccc(NC2CCC2)nc1,148.20498
OCCc1ccccc1,122.1644
O=C(Nc1ccccc1)Nc1cccc(F)c1,230.23764
CNC(CO)C(C)C,117.1894
Cc1cccc(Nc2cc(=O)[nH]c(=O)[nH]2)c1,217.22394
Cc1cc[nH]c1C(=O)O,125.12528
Nc1ncnc2[nH]cc(-c3ccccc3)c12,210.2346
Nc1cccc2[nH]ccc12,132.16252
c1cn2nc(NCC3CC3)ccc2n1,188.22908
CNC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,278.34677
NCc1ccccc1O,123.15246
Cc1nsc(NC(=O)C2CC2C)c1C,210.29595
COCC(O)CO,106.1204
OCC(O)CO,92.09382
CC12CCCCC1CCC2O,154.24932
CNC(=O)CNC(=O)c1ccccc1N,207.22912
CNCCNC(C)=O,116.16158
CC1CCCCC1C(=O)NCC#N,180.24684
C=NCCO,73.09377
O=C(O)CC1CCOC1,130.14179
CN(C)C1CCCC1Nc1nc(N)ncc1C(F)(F)F,289.30002
FCCNc1ccccc1,139.1701
Nc1ccccc1S(N)(=O)=O,172.20492
O=C(O)Cn1cnc2ccccc21,176.17202
Cc1ccccc1CN,121.17964
Cc1ccccc1CO,122.1644
O=S(=O)(NCc1ccccc1)c1ccccc1,247.31282
c1ccc(-c2nnn[nH]2)cc1,146.14934
Oc1c(C2=NCCN2)cccc1-c1ccccc1,238.28446
NS(=O)(=O)Nc1ccccc1,172.20492
CCNS(=O)(=O)Nc1ccc2c(c1)SN=CN2,272.34717
CN1CCC(NC(=O)OC(C)(C)C)C1,200.27799
OC(c1cncs1)(C(F)(F)F)C(F)(F)F,251.14953
CCCCNS(=O)(=O)c1ccccc1,213.2966
NCCNS,92.16332
C/C(=N/O)C(=O)O,103.07669
NC(=O)CC1NCc2ccccc21,176.21508
C#CCOC,70.08984
CC1CCCN1C(=S)Nc1ccccc1,220.33384
CCOS(N)(=O)=O,125.14687
